,Year,Production_liters
0,2011.0,980375.0
1,2012.0,1044696.0
2,2013.0,2519568.0
3,2014.0,1451718.0
4,2015.0,2419175.0
5,2016.0,3028000.0
6,2017.0,3985221.0
7,2018.0,5089667.0
8,2019.0,7145039.0
9,2020.0,7846251.0
10,2021.0,8099591.0
11,2022.0,14165505.0
12,2023.0,12239655.0
13,2024.0,11362436.0
