,Year,Liters
0,2011,270426
1,2012,317803
2,2013,800002
3,2014,924686
4,2015,1508839
5,2016,1854840
6,2017,2095934
7,2018,2491909
8,2019,2740212
9,2020,2391480
10,2021,3684458
11,2022,8786978
12,2023,5327864
13,2024,3793310
