Concept,Amount_MXN
Derechos para extraer cabezas de maguey (120 x $20),2400
Pago de labradores,600
Pago de juntadores,100
Acarreo de cabezas,1200
Leña (9 cargas x $35),315
Peones cortar/acarrear palma,200
Peones juntar/acarrear piedra,100
Peones limpiar/tapar/destapar horno,1200
Peones martajar,300
Peones llenar/cuidar tinas,300
Peones simpleado/refinado,1200
TOTAL GASTOS,7915
