Concept,Amount_MXN
Derechos para extraer cabezas de maguey (600 cabezas),3000.0
Pago de labradores,3000.0
Pago de juntadores,1500.0
Acarreo de cabezas,6000.0
Leña (45 cargas),1575.0
Peones cortar/acarrear palma,300.0
Peones juntar/acarrear piedra,300.0
Peones limpiar/tapar/destapar horno,2500.0
Peones martajar,1500.0
Peones llenar/cuidar tinas,1500.0
Peones simpleado/refinado,2500.0
Acarreo mezcal,300.0
Luz,
TOTAL GASTOS,38975.0
