Concept,Amount_MXN
Mezcal (contenido),30.0
Acopio/transporte/acareo del mezcal a envasadora,0.81
Botella vidrio 750 ml,6.84
Traslado de botella México -> Chilpancingo,1.0
Mano de obra,2.22
Caja cartón para 6 botellas,1.6
Flete caja,0.5
Tapón plástico,2.0
Flete tapa,0.5
Banda de garantía,0.5
Etiquetas,3.0
Pérdidas,0.5
SUBTOTAL,47.47
Gastos administración (15%),7.12
Utilidad (25%),11.86
IEPS (60%),39.87
IVA (15%),15.94
TOTAL,122.26
